ID;Logotipo;Nombre;Direcciones;Productos;Activado
212;/img/tmp/manufacturer_mini_212.jpg?time=1745565578;7AM;--;2;1
196;/img/tmp/manufacturer_mini_196.jpg?time=1745565578;Angelcare;--;2;1
257;/img/tmp/manufacturer_mini_257.jpg?time=1745565578;Axkid;--;6;1
238;/img/tmp/manufacturer_mini_238.jpg?time=1745565578;"Baby Brezza";--;3;1
6;/img/tmp/manufacturer_mini_6.jpg?time=1745565578;Babybjörn;--;52;1
204;/img/tmp/manufacturer_mini_204.jpg?time=1745565578;babyclic;--;64;1
65;/img/tmp/manufacturer_mini_65.jpg?time=1745565578;Babydan;--;8;1
165;/img/tmp/manufacturer_mini_165.jpg?time=1745565578;BabyNails;--;2;1
232;/img/tmp/manufacturer_mini_232.jpg?time=1745565578;Banz;--;7;1
252;/img/tmp/manufacturer_mini_252.jpg?time=1745565578;bblüv;--;2;1
3;/img/tmp/manufacturer_mini_3.jpg?time=1745565578;Béaba;--;4;1
166;/img/tmp/manufacturer_mini_166.jpg?time=1745565578;Bellini;--;2;1
156;/img/tmp/manufacturer_mini_156.jpg?time=1745565578;BIBS;--;4;1
239;/img/tmp/manufacturer_mini_239.jpg?time=1745565578;BigToes;--;1;1
2;/img/tmp/manufacturer_mini_2.jpg?time=1745565578;Bugaboo;--;80;1
101;/img/tmp/manufacturer_mini_101.jpg?time=1745565578;Carelia;--;11;1
105;/img/tmp/manufacturer_mini_105.jpg?time=1745565578;Carriwell;--;56;1
224;/img/tmp/manufacturer_mini_224.jpg?time=1745565578;CHILDHOME;--;6;1
17;/img/tmp/manufacturer_mini_17.jpg?time=1745565578;Cotinfant;--;36;1
225;/img/tmp/manufacturer_mini_225.jpg?time=1745565578;Ding;--;0;1
119;/img/tmp/manufacturer_mini_119.jpg?time=1745565578;"Done by deer";--;194;1
70;/img/tmp/manufacturer_mini_70.jpg?time=1745565578;DreamConcept;--;2;1
188;/img/tmp/manufacturer_mini_188.jpg?time=1745565578;"eco rascals";--;20;1
197;/img/tmp/manufacturer_mini_197.jpg?time=1745565578;elvie;--;9;1
245;/img/tmp/manufacturer_mini_245.jpg?time=1745565578;ezimoov;--;5;1
205;/img/tmp/manufacturer_mini_205.jpg?time=1745565578;Fidella;--;1;1
249;/img/tmp/manufacturer_mini_249.jpg?time=1745565578;FOPPAPEDRETTI;--;29;1
22;/img/tmp/manufacturer_mini_22.jpg?time=1745565578;Funkybox;--;6;1
228;/img/tmp/manufacturer_mini_228.jpg?time=1745565578;"Giraffa Bianca";--;31;1
264;/img/tmp/manufacturer_mini_264.jpg?time=1745565578;Happymami;--;8;1
