"Product ID";Imagen;Nombre;Referencia;Categoría;"Precio (imp. excl.)";"Precio (imp. incl.)";Cantidad;Estado;Posición
9606;https://subirananadons.com/19983/gorro-jirafa.jpg;"Gorro Jirafa";P;"Ropa bebé";3.264463;3.95;-2;1
9266;https://subirananadons.com/19013/toallita-de-lactancia-de-bambú-canalé-beige.jpg;"Toallita de lactancia de bambú Canalé Beige";P150;"Kits higiene y cosmética";6.528926;7.9;-1;1
9337;https://subirananadons.com/19895/toallita-de-lactancia-de-bambú-diente-de-león.jpg;"Toallita de lactancia de bambú Diente de León";P150;"Kits higiene y cosmética";6.528926;7.9;0;1
9472;https://subirananadons.com/21106/toallita-de-lactancia-de-bambú-aina.jpg;"Toallita de lactancia de bambú Aina";P150;"Kits higiene y cosmética";6.528926;7.9;0;1
9525;https://subirananadons.com/19627/toallita-de-lactancia-de-bambú-birds.jpg;"Toallita de lactancia de bambú Birds";P150;"Kits higiene y cosmética";6.528926;7.9;0;1
9673;https://subirananadons.com/20290/toallita-de-lactancia-de-bambú-erizos.jpg;"Toallita de lactancia de bambú Erizos";P150;"Kits higiene y cosmética";6.528926;7.9;-1;1
9718;https://subirananadons.com/20479/toallita-de-lactancia-de-bambú-aria.jpg;"Toallita de lactancia de bambú Aria";P150;"Kits higiene y cosmética";6.528926;7.9;0;1
9815;https://subirananadons.com/20996/toallita-de-lactancia-de-bambú-gofre.jpg;"Toallita de lactancia de bambú Gofre";P150;"Kits higiene y cosmética";6.528926;7.9;0;1
9844;https://subirananadons.com/21108/toallita-de-lactancia-de-bambú-victoria-muselina.jpg;"Toallita de lactancia de bambú Victoria Muselina";P150;"Kits higiene y cosmética";6.528926;7.9;0;1
9845;https://subirananadons.com/21110/toallita-de-lactancia-de-bambú-flores-bordadas.jpg;"Toallita de lactancia de bambú Flores Bordadas";P150;"Kits higiene y cosmética";6.528926;7.9;0;1
9389;https://subirananadons.com/18947/chupete-wonder-0-6-meses-grey-clouds.jpg;"Chupete Wonder 0-6 meses Grey Clouds";308371;Chupetes;7.396694;8.95;0;1
9508;https://subirananadons.com/19540/chupete-wonder-0-6-meses-almost-aqua.jpg;"Chupete Wonder 0-6 meses Almost Aqua";308374;Chupetes;7.396694;8.95;0;1
9757;https://subirananadons.com/20707/vaso-tiny-farm-arena.jpg;"Vaso Tiny Farm Arena";1956479;"Botellas y vasos";7.396694;8.95;-1;1
9758;https://subirananadons.com/20711/vaso-tiny-farm-rosa.jpg;"Vaso Tiny Farm Rosa";1956471;"Botellas y vasos";7.396694;8.95;0;1
9863;https://subirananadons.com/21207/bote-doble-s-tiny-farm-azul.jpg;"Bote doble S Tiny Farm Azul";1256892;"Botes y fiambreras";7.396694;8.95;0;1
9864;https://subirananadons.com/21213/bote-doble-s-tiny-farm-rosa.jpg;"Bote doble S Tiny Farm Rosa";1256881;"Botes y fiambreras";7.396694;8.95;0;1
